hash,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector,sample_size,average_recall,index_params_cluster_size,query_params_visit_percentage
bc6c686ad89a8c75076a4cdf87b9fcc59fc6b5415d4f40bf71f2f8a65000dc95,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 5.0},2000.0,0.9889999999999995,,
12824641efadb9ddc0871ee8180385a2d069f9476895e976d50cdccd88c54850,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 7.5},2000.0,0.9889999999999995,,
ebf5730ee166da6585459a5e5586693d64b53a61a961c2591d395dc2b4f29a04,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 10.0},2000.0,0.9889999999999995,,
8cade3514787dfd083be68a9bb752105eace84ee133c07c7ad2b393d1fb7b1a0,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 1.0},4000.0,0.9817999999999993,,
6fd510fc1a77e72e8c2c91b0e52091cecdb6bd1a3ac4b9189296d0f0e9aa8fde,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 1.5},4000.0,0.9817999999999993,,
790348ad56da6652a292a588a944c1891b5a7230f3546858d4c110f9dc56f35a,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 2.0},4000.0,0.9817999999999993,,
f4245f88a49a8e73a5a8d4031b017c0003add9d0cf00be9624098f47ee76444c,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 2.5},4000.0,0.9817999999999993,,
612172955b415aef652b40568d4635dc4bbb28b8ca6f96ba630abf74f6717f28,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 3.0},4000.0,0.9817999999999993,,
7bfc8c54499607b504f6489757aca49d3131de319f0b74c6891302db10876cc5,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 4.0},4000.0,0.9817999999999993,,
d77c48f3bccf01754844ed01245770c43a88e9cd2680d353e002f4159e369a49,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 5.0},4000.0,0.9817999999999993,,
88807fd34bf5db7d099dab0723af6e696d51a8347e5bd29a2549db55034fa79b,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 7.5},4000.0,0.9817999999999993,,
23a2967c5d362132c4590ff0c6edaf1bf9b372529cb3d1acb607ae00e9d0251c,corpus-fiqa-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 10.0},4000.0,0.9817999999999993,,
6de869e81e8e7fb9f612ceb49e3261ad61c9459fb6f0ad3e59fffb849de7887a,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 1.0},8000.0,0.9831999999999993,,
2b88176f0c472a7e52ed52a7d3ef4429b6460ede3b38d1f583624b7e6b9bc630,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 1.5},8000.0,0.9831999999999993,,
65b211d12f3a1069cbfca2027702c4ea85e7a5d212f64f068df160fc0a44f45c,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 2.0},8000.0,0.9831999999999993,,
b3f212109891ae7479a2e7185f337c9895177d4af75d4daac8723b1980a54947,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 2.5},8000.0,0.9831999999999993,,
d2f2eb96beb5725591f2efeecb2a83165aa4115bacd6526e984deab9a40aaa2b,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 3.0},8000.0,0.9831999999999993,,
f7e498ceb99e55bbd5ac11af3f04ab2602fdfcfc28550ec0917fefb029e2dc3a,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 4.0},8000.0,0.9831999999999993,,
752c20b114fc43b48e63cc7df849fd68f629638b6bb79d3a4199487dddd6d650,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 5.0},8000.0,0.9831999999999993,,
7c5443f198875356abbbaf259f40417ffac1ea420ff64b1bea20542ae9554133,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 7.5},8000.0,0.9831999999999993,,
c19ca44273a3e87cd749484042076554fed7074cfcbb4c2891c6093936fb3670,corpus-fiqa-gte-base-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 10.0},8000.0,0.9831999999999993,,
03be5d50088290580f7d266b614deec11087a79882ace189cf2b5a7d0d058b36,corpus-fiqa-gte-base-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 1.0},16000.0,0.9759999999999991,,
