hash,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
4b091dbe0190b75ca28684989af7d182e8f8cfc78accbd07295e873b9c114c0e,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.0,4000.0,0.9238000000000001,0.11495025010847085,,
6a54b7b1021f1eba896384ec9bcaff8e9d5305610a864e3c990254a8a26b5b5a,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.5,4000.0,0.9238000000000001,0.11495025010847085,,
c1968b1a8b68fba632295cb745235308ab97d2c1a4f039e3107a47715aca4fef,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,3.0,4000.0,0.9238000000000001,0.11495025010847085,,
0815343efcc7d10ab53d13f911fe56a7015e5bb5b222999b964f2129b20feaba,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,4.0,4000.0,0.9238000000000001,0.11495025010847085,,
a7c7ec024dcf15b2d1eab1215f78bdc58a147c8ca3410e32588ccc80d25417e0,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,5.0,4000.0,0.9238000000000001,0.11495025010847085,,
59a3c595d390b0b7ed500c365cd875740aa5969a921219ea86a37b76c4973c72,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,7.5,4000.0,0.9238000000000001,0.11495025010847085,,
d830a5b82b9cec945e5ac00b2e8807a86815f5576d95d2760409500e4b7adb79,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,10.0,4000.0,0.9238000000000001,0.11495025010847085,,
1afd32707af55d8b18a54dea1466866a99d7f73c21abcaf48fa4bc0bed63aa2d,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,1.0,8000.0,0.9612,0.07933826315215124,,
5e185caaed9f4b535c7b98cae41bac391fd8245921be39bee48cc1033f6fb106,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,1.5,8000.0,0.9612,0.07933826315215124,,
1ab23ae5127df7f108675167a920f460d1706690c9beea6564d44a81e1ae26b8,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,2.0,8000.0,0.9612,0.07933826315215124,,
dbf2463fdbfc3749d5c391fdc5097c458073a668a6a02d294f55e0c619059aa1,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,2.5,8000.0,0.9612,0.07933826315215124,,
ff96257c3bd2c79e421f553324ebb1339885fa31c0a97ad542614a6d71c02c3e,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,3.0,8000.0,0.9612,0.07933826315215124,,
56dcc6887a2285726dddd98f25797ba881218675965642e0fb772b56249c7e8f,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,4.0,8000.0,0.9612,0.07933826315215124,,
e2d99ac9a90d2ecacba4d8024c225797f37584d3db1be9a95ac50e02441dde1e,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,5.0,8000.0,0.9612,0.07933826315215124,,
7234b3aecea095e4f1327629f17fbc8155ba00e4614f4e135b34fdd3d2404c8d,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,7.5,8000.0,0.9612,0.07933826315215124,,
27c2f48c31d908259fb90a576563108a16a0794f26c575c1818366b399074134,corpus-fiqa-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,10.0,8000.0,0.9612,0.07933826315215124,,
1a92a80c3cd116744260d17807f4eec9b1ef841d27450e87c9a03f9dc1fb8902,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,1.0,16000.0,0.9518000000000001,0.10628621735672034,,
445834c9cb400cbb07c85152ccdc650f2c006bdda651a85882679698ee593ed1,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,1.5,16000.0,0.9518000000000001,0.10628621735672034,,
bbabc62c97cb4cff6a98894ec1efd38d5783bb5a96df6e29192f11f839107933,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,2.0,16000.0,0.9518000000000001,0.10628621735672034,,
18b86d2c44b96be431a17c4a849802f04dde293ca6ddbe466b15b5c21c406d5f,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,2.5,16000.0,0.9518000000000001,0.10628621735672034,,
08bad0ed7a8950d2268a134762a74dc5e4413f493c65a16bc267e4e7dad733d5,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,3.0,16000.0,0.9518000000000001,0.10628621735672034,,
f1fcc011b5bac953afb3f1ce5c33593d20f9c3d44ce0adc73c580e8e4c0d8ec3,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,4.0,16000.0,0.9518000000000001,0.10628621735672034,,
994ec87f786606875e8a71ed0bf34d378fb46c76cb9524b3fe6e3eb8fa13753d,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,5.0,16000.0,0.9518000000000001,0.10628621735672034,,
5592253edfb9729506554184b8ea31ad529456a78f9b0013c4b1e95d44eb4c30,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,7.5,16000.0,0.9518000000000001,0.10628621735672034,,
aa953dc90860e7dd7ed8dfcf92ad66e795b995d76b5e6700f2d697aa6ac80681,corpus-fiqa-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,10.0,16000.0,0.9518000000000001,0.10628621735672034,,
9ebfa4ecb0a3622275bbf2e3016eb7d81f726b206bfb22166548097b174021c0,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,1.0,,0.93,0.1205819223598629,,
8d86741011e6086f07951662f692111cd64e42422c3404fc5926341ac546506a,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,1.5,,0.93,0.1205819223598629,,
5c7c755b48547bd7833dd3c79f560d7d55b114fd52a76b0e66b800ce7721330a,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,2.0,,0.93,0.1205819223598629,,
8459de8c413e8b3e099261ad6c636ebe64cb11d54b2fd013edf731f1d3cfc156,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,2.5,,0.93,0.1205819223598629,,
15ad0359028d4ded2d4622e4149b3fac7b4bfd8b5f01e6c81c31056e0023b011,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,3.0,,0.93,0.1205819223598629,,
e2d114e6d3a23d745c1cf6e4be4eaeaa77cb502eadf1789164aa0c62a08ca39f,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,4.0,,0.93,0.1205819223598629,,
855219bb95d2f3cb38537144f7c54bac9b6e5eb93be646c79ab995a7dfd33fef,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,5.0,,0.93,0.1205819223598629,,
075ddc33982e674fc54e8034fcdb762e01cd4c11aa65303f04ee99e2a6679560,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,7.5,,0.93,0.1205819223598629,,
cfe5c1c24bfd442a43f5c836ada170642055628008c308009bcf0a7dff12128f,corpus-fiqa-arctic-0_hnsw_8_200_none,hnsw,8.0,200.0,10,10.0,,0.93,0.1205819223598629,,
25f3b00a688fcc19978fce7109b2bc04a26b5c6ac5505e79d2742aacc6f24530,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,1.0,2000.0,0.9924000000000001,0.03259202356405628,,
8d4239c4fab505c38bc0fbb4955f199c45dee9d84f9ca9bd89a5be876672809f,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,1.5,2000.0,0.9924000000000001,0.03259202356405628,,
d2fdec09ad6a896f09befee71bd6547c4cbf2f45a066ca3212bd57ad406b2e39,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,2.0,2000.0,0.9924000000000001,0.03259202356405628,,
4404e5917d5ddeb42bd58578d66b17fb19bacfbd44c5ee05283f6287a484554a,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,2.5,2000.0,0.9924000000000001,0.03259202356405628,,
7f7a631fe6f783dbf60d660dda7b6d5de836630e56e3858f7f276932b47684a5,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,3.0,2000.0,0.9924000000000001,0.03259202356405628,,
d0f3dc9a255bfb4f4251aea5d7a48e7eef9ffc3ffcc862be6775bb6ef1ff25be,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,4.0,2000.0,0.9924000000000001,0.03259202356405628,,
399832d9c13c7a88d8e9181c761c5bc5db52a5030fc5c7186dd0ff2009f908b2,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,5.0,2000.0,0.9924000000000001,0.03259202356405628,,
4ce0a2a505eeb8e62f0fd9a7b24435b09664a4d79990065d67d3fdac09ffc4e9,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,7.5,2000.0,0.9924000000000001,0.03259202356405628,,
e436667544379908d19ef26a427807f4a34673129f8d2c48b2fe0c08a434a7e4,corpus-fiqa-arctic-0_hnsw_8_200_none_2000,hnsw,8.0,200.0,10,10.0,2000.0,0.9924000000000001,0.03259202356405628,,
81aea032e86a110703de2c316f2234f5cf118829b8fd7c3bf63c878503481451,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,1.0,4000.0,0.9742000000000001,0.060285653351357146,,
e3ab0f6fe287565b2e084181d57cafc54f4b40b0371b065d54a0873889bac52a,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,1.5,4000.0,0.9742000000000001,0.060285653351357146,,
aea5c2875730650bb0eab65f0a223fffca3bb0721601eda95d59700e4072d09a,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,2.0,4000.0,0.9742000000000001,0.060285653351357146,,
1e181959e05e178708a83e5a1f66026f8a371a4cbdc9213aa481825cdcd3176f,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,2.5,4000.0,0.9742000000000001,0.060285653351357146,,
b9892f829573d5d8dd42cef310ce0ff36779c32cd54c41baffb622caf327a987,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,3.0,4000.0,0.9742000000000001,0.060285653351357146,,
306763c6da7c1b4894d0dc6cc6fb80e8d13f384ddddad435de6133b80cab17ae,corpus-fiqa-arctic-0_hnsw_8_200_none_4000,hnsw,8.0,200.0,10,4.0,4000.0,0.9742000000000001,0.060285653351357146,,
