hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
24912e44708e4f1145e95d3e1619eae6ca2df240eeea9121e976cd3c46b84300,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_4000,bbq_hnsw,16.0,200.0,10,4.0,4000.0,0.964,0.08187795796183488,,
3967b9c6317834a7a6eacd1a137b6a9054f962313a41433d5b190253fc122571,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_4000,bbq_hnsw,16.0,200.0,10,5.0,4000.0,0.9812000000000001,0.0544661362683273,,
ee26732800e9393640fe085161547261e1cfbd098818ec39b08405153f401dc9,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_4000,bbq_hnsw,16.0,200.0,10,7.5,4000.0,0.994,0.0290516780926679,,
a7f6887e823cb8707091d49cebf89f9811377d9b9a1b54fbb3200f6ef333b499,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_4000,bbq_hnsw,16.0,200.0,10,10.0,4000.0,0.9967999999999999,0.020730653631759893,,
568575294e8b757aeadd0685ec04bad6174314e13d34fa205576889953fe5505,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,1.0,8000.0,0.5883999999999999,0.17258458795616716,,
2f87d547e1bb50fed484993b6535cb61ff54b3cc11a73905f28298b894c723f9,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,1.5,8000.0,0.7268,0.1816638654218279,,
a76dfd629b9cd69cef54eb0611b1ec8cd892cd6802fcd722813164772454f463,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,2.0,8000.0,0.8086,0.17107320070659812,,
01b5ef58cf4da6258cbca337ff41421e29729cfbf8bac69bc3f33aa3c1a54764,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,2.5,8000.0,0.8634000000000001,0.15060026560401543,,
dd146a291f7b964fab0f5a95df5904906e1dc2765ccd9bd34c9aa1d2f95667c3,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,3.0,8000.0,0.8942,0.13589098572017205,,
2b86b2bece6b3862444b8fb2360061adc6d8f1dff0d83d7aaac5d044317e8361,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,4.0,8000.0,0.9346,0.10537001471006825,,
225b5f0904134ada570daf840dee97df6fcfc44060f1e4babc8fadd7d056cde1,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,5.0,8000.0,0.9586,0.08090760162061411,,
64d8f6d6ac9ac5dbab191c03890e9bbebbd5bcaf2f8beaa7aca3612dad936ad3,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,7.5,8000.0,0.9812000000000001,0.05144472762101087,,
82ce34c61858f5ee5ca1fd41940a9b888db37b30c95927167251b9163513e6b2,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_8000,bbq_hnsw,16.0,200.0,10,10.0,8000.0,0.9912000000000001,0.03581284685695902,,
1e2d7e1f3c1d57768af8a4dd3bff32bfeee36e64c4e12acaf4ec8f0207fc6dae,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,1.0,16000.0,0.5106,0.18217475126921404,,
817f31ae5e997dd0dc102808511d555a9b840eef7d7247b254a57fef5a110877,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,1.5,16000.0,0.6386,0.20476825925909511,,
299204eb497b7a03a52e235574fbfc7c2b7c2ac3d266d42be61eb18021f76938,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,2.0,16000.0,0.7192000000000001,0.20657047223647432,,
d630e54aaadd74df2b1137b0c8233ba196ec1e58076f3db93e4ce17e442fc206,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,2.5,16000.0,0.7776000000000001,0.19773274893148077,,
71e2690561d75cb75bfe285c085d76fea741760f8ce9c5c1ef6c84ad9ac010da,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,3.0,16000.0,0.8186,0.18588717007905628,,
72d6fb8bb2a968ed1f3532333d535a07793091e110684a888c9c17da30fe7f98,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,4.0,16000.0,0.8762000000000001,0.1562483919917258,,
1bae204b71e2877194489fde7bd7af9393c7fd9e634f76bf892b8e1ab3503adc,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,5.0,16000.0,0.9102,0.13174202063123217,,
14033b7e9800e99203c354366d3ea33b87db790d198f4f3da0e505343108e7bf,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,7.5,16000.0,0.9546000000000001,0.0916451853618072,,
08075113222ae3f26fdcd3d92a862038585cd6205f25865191506d8e17e19649,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_200_none_16000,bbq_hnsw,16.0,200.0,10,10.0,16000.0,0.9738000000000001,0.0667349983142279,,
16a25cb12cbbb5fbcca2da55215cd281e0113eb720fdc4f380eff78795af3108,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,1.0,,0.43460000000000004,0.19622140556014778,,
71e386dc069a1137dbe42c65daf25142660823f9e117630c20972f3c21304040,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,1.5,,0.5474,0.22363640133037377,,
aaf4ad3537b652d7153815790d343b04db401b88b5ca2644b09242abdec194d7,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,2.0,,0.6216,0.22946337398373623,,
45c36928dbb97453cfc7ffa0bd6f942626299b79e0545416c406a42795eaa28a,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,2.5,,0.682,0.22626533097229018,,
5a1c111f7136805e0ee44b823328e4852159faa33e48dbdd249464a4bdab0c7d,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,3.0,,0.7293999999999999,0.22017184197803316,,
a9266f3db9c5637c4a4614a8016c6f46656bb807f4235c621ffde409bb199594,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,4.0,,0.7914,0.20373031193222083,,
09f92e6d910b4d318604fc3c45360a2ecc6907119a71f9b4424abd4281c48095,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,5.0,,0.8318,0.19122960021921295,,
a9791f64c7bf0b5d76a0d59851085e15cfc7b1438b1c92aab933189938064b28,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,7.5,,0.8846,0.16751967048678193,,
7ccb3c95a974e5d3b21a0ac662ff72a21c56cb604d378ba5b3ddccbc9d61afae,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none,bbq_hnsw,16.0,400.0,10,10.0,,0.9244000000000001,0.1368380064163462,,
52b03c2f6f4f864a764f22688a2fbaebefea1cb6a63b02338981f1b9944f9002,corpus-fashion-mnist,corpus-fashion-mnist_bbq_hnsw_16_400_none_2000,bbq_hnsw,16.0,400.0,10,1.0,2000.0,0.7044000000000001,0.14429358960120164,,
