hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
cd9a2cf5d511604355346179caf088475c373dabe291ea2add2362d8f279209b,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,3.0,2000.0,0.8914000000000001,0.14009296913121658,,
b0ca45e194873525d6706c1ffd9ab0608bfdc25affd33842bf53380d74d6a5f7,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,4.0,2000.0,0.8914000000000001,0.14009296913121658,,
2062e8cdab50f630172a02b431a66dfa1dd691b6bdce83666c54bf665c667ff2,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,5.0,2000.0,0.8914000000000001,0.14009296913121658,,
21597863aa4e4b82fee58cf188423f965766dd040388706864a91ed319f807ac,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,7.5,2000.0,0.8914000000000001,0.14009296913121658,,
6a78b19c46bb9f91a00d514907118a4afcaff9fb53c82d5a8adc6be1bf08af9f,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,10.0,2000.0,0.8914000000000001,0.14009296913121658,,
484f6eee82581c05f5baab43e11d15b74da1b3aba511ecb66f9dc5da14523e35,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.0,4000.0,0.9774,0.05356528726703516,,
103101c9326193bf4e363dc85b3522cc31df74643e83758dd9b2be6d688fe61a,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.5,4000.0,0.9774,0.05356528726703516,,
31ffcd9a50a5c231ef7e8e431628f1d8b97b00b37877f42a643e7377c495670f,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.0,4000.0,0.9774,0.05356528726703516,,
9a88aeeb214b9d84706984db8d19e86bf6ef18a883d749349b09196a563c0cc1,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.5,4000.0,0.9774,0.05356528726703516,,
b0f41bda9a20f981305ae1489445c59208c7963b58bb9c5c77392266acaae4d4,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,3.0,4000.0,0.9774,0.05356528726703516,,
426f5fa32ee4abaa3108302982a6d06f73c58db14814a291243af316e22e1fcd,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,4.0,4000.0,0.9774,0.05356528726703516,,
23591c4d1eb8e5fd0989ac1b7b818e635e88192984797d3a5b740e7d242e3637,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,5.0,4000.0,0.9774,0.05356528726703516,,
a6ce303093b0bb23b4eedc098d2d1c9a8d4b685453a6757408de4d28c1c7c71f,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,7.5,4000.0,0.9774,0.05356528726703516,,
